locations,time_of_day,stay_time,arbitary_location_type,place_ID,google_place_types
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Night,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,lodging,shoe_store,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Morning,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
Colombo City Center (CCC),Evening,150,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
